(1, 0)
(2, 1)
(3, 2)
(4, 3)
(5, 4)
(6, 5)
(12, 5)
(7, 6)
(8, 7)
(9, 8)
(10, 9)
(11, 10)
(13, 11)
(19, 12)
(25, 13)
(15, 14)
(16, 15)
(17, 16)
(18, 17)
(19, 18)
(20, 19)
(26, 19)
(21, 20)
(22, 21)
(23, 22)
(24, 23)
(25, 24)
(27, 25)
(33, 26)
(39, 27)
(29, 28)
(30, 29)
(31, 30)
(32, 31)
(33, 32)
(34, 33)
(40, 33)
(35, 34)
(36, 35)
(37, 36)
(38, 37)
(39, 38)
(41, 39)
(47, 40)
(53, 41)
(43, 42)
(44, 43)
(45, 44)
(46, 45)
(47, 46)
(48, 47)
(54, 47)
(49, 48)
(50, 49)
(51, 50)
(52, 51)
(53, 52)
(55, 53)
(61, 54)
(67, 55)
(57, 56)
(58, 57)
(59, 58)
(60, 59)
(61, 60)
(62, 61)
(68, 61)
(63, 62)
(64, 63)
(65, 64)
(66, 65)
(67, 66)
(69, 67)
(70, 68)
(71, 69)
