(1, 0)
(2, 0)
(3, 0)
(4, 0)
(5, 0)
(6, 0)
(7, 0)
(8, 0)
(10, 0)
(11, 0)
(13, 0)
(14, 0)
(17, 0)
(21, 0)
(24, 0)
(25, 0)
(27, 0)
(28, 0)
(33, 0)
(35, 0)
(36, 0)
(44, 0)
(45, 0)
(53, 0)
(67, 0)
(69, 0)
(73, 0)
(80, 0)
(88, 0)
(91, 0)
(100, 0)
(101, 0)
(103, 0)
(106, 0)
(113, 0)
(114, 0)
(118, 0)
(130, 0)
(135, 0)
(136, 0)
(137, 0)
(140, 0)
(144, 0)
(145, 0)
(155, 0)
(161, 0)
(185, 0)
(192, 0)
(200, 0)
(203, 0)
(214, 0)
(215, 0)
(218, 0)
(219, 0)
(224, 0)
(230, 0)
(231, 0)
(243, 0)
(246, 0)
(253, 0)
(268, 0)
(269, 0)
(283, 0)
(295, 0)
(301, 0)
(316, 0)
(319, 0)
(320, 0)
(336, 0)
(341, 0)
(349, 0)
(356, 0)
(383, 0)
(392, 0)
(394, 0)
(428, 0)
(431, 0)
(433, 0)
(453, 0)
(481, 0)
(495, 0)
(498, 0)
(508, 0)
(511, 0)
(545, 0)
(558, 0)
(562, 0)
(569, 0)
(581, 0)
(587, 0)
(588, 0)
(606, 0)
(645, 0)
(647, 0)
(685, 0)
(722, 0)
(724, 0)
(735, 0)
(741, 0)
(754, 0)
(756, 0)
(761, 0)
(777, 0)
(2, 1)
(3, 1)
(4, 1)
(5, 1)
(6, 1)
(8, 1)
(9, 1)
(10, 1)
(11, 1)
(12, 1)
(16, 1)
(17, 1)
(23, 1)
(24, 1)
(28, 1)
(36, 1)
(37, 1)
(53, 1)
(64, 1)
(71, 1)
(75, 1)
(81, 1)
(95, 1)
(97, 1)
(98, 1)
(102, 1)
(116, 1)
(120, 1)
(129, 1)
(133, 1)
(143, 1)
(146, 1)
(168, 1)
(176, 1)
(179, 1)
(183, 1)
(189, 1)
(191, 1)
(192, 1)
(205, 1)
(217, 1)
(231, 1)
(238, 1)
(239, 1)
(253, 1)
(258, 1)
(261, 1)
(302, 1)
(307, 1)
(312, 1)
(318, 1)
(327, 1)
(330, 1)
(341, 1)
(347, 1)
(349, 1)
(354, 1)
