(2, 0)
(2, 1)
(4, 1)
(3, 2)
(4, 3)
(5, 3)
(8, 4)
(9, 4)
(6, 5)
(7, 5)
(7, 6)
(19, 6)
(8, 7)
(14, 8)
(18, 8)
(10, 9)
(12, 9)
(11, 10)
(58, 10)
(12, 11)
(13, 11)
(14, 12)
(14, 13)
(15, 13)
(16, 15)
(61, 15)
(17, 16)
(21, 16)
(22, 16)
(31, 16)
(52, 16)
(18, 17)
(20, 17)
(19, 18)
(57, 19)
(21, 20)
(31, 21)
(23, 22)
(24, 23)
(30, 23)
(25, 24)
(26, 25)
(29, 25)
(28, 26)
(51, 26)
(51, 27)
(29, 28)
(34, 28)
(47, 28)
(30, 29)
(31, 30)
(32, 31)
(33, 32)
(36, 33)
(35, 34)
(60, 34)
(41, 35)
(42, 35)
(41, 36)
(56, 36)
(38, 37)
(56, 37)
(39, 38)
(40, 39)
(53, 40)
(46, 41)
(60, 41)
(44, 43)
(46, 43)
(45, 44)
(48, 47)
(49, 47)
(50, 47)
(55, 51)
(54, 53)
(57, 53)
(57, 56)
(59, 58)
